"","fret_base","hpca_base","fret_mid","hpca_mid","fret_end","hpca_end"
"1",0.0676333333333333,-0.0072,0.0866666666666667,0.0705,0.09542,-0.17056
"2",0.0284,-0.00711666666666667,0.0602666666666667,-0.00863333333333333,0.05816,-0.19992
"3",0.0312333333333333,-0.00621666666666667,0.0627666666666667,0.0231666666666667,0.0567,-0.18588
"4",0.0183166666666667,-0.00883333333333333,0.0487,-0.1059,0.03722,-0.1484
"5",0.00218333333333333,-0.00826666666666667,0.0188,-0.2754,0.01066,-0.20112
"6",0.03635,0.0128833333333333,0.0525333333333333,0.1448,0.06512,-0.1703
"7",0.0606,-0.0115333333333333,0.0797333333333333,0.182066666666667,0.08732,-0.20184
"8",0.0750833333333333,-0.00215,0.123766666666667,0.221133333333333,0.08648,-0.01512
"9",0.0375833333333333,-0.000666666666666666,0.0288,0.3149,0.03448,-0.00646
"10",0.05485,0.01235,0.0678333333333333,0.0604333333333333,0.06454,-0.15122
"11",0.0191,0.00836666666666667,0.0203333333333333,0.0934666666666667,0.01554,-0.00034
"12",0.01525,6.66666666666665e-05,0.0239666666666667,0.0396,0.01732,0.03606
"13",0.0264,0.00358333333333333,0.0294333333333333,0.121766666666667,0.03104,0.04218
"14",0.05505,-0.00488333333333333,0.0560333333333333,0.116,0.06054,-0.03962
"15",0.01,-0.0087,0.0185,-0.0777666666666667,0.01502,0.0072
"16",0.0171,-0.0078,0.0237666666666667,-0.0376666666666667,0.02834,-0.08798
"17",0.0294833333333333,-0.0123,0.0342333333333333,0.0727333333333333,0.03388,-0.10248
"18",0.00178333333333333,-0.00606666666666667,0.0074,-0.177866666666667,0.00596,-0.13368
"19",0.0011,-0.00201666666666667,0.00646666666666667,-0.126933333333333,0.00718,-0.1151
"20",0.00146666666666667,-0.00983333333333333,0.0064,-2e-04,0.00568,-0.0713
"21",0.00198333333333333,-0.00875,0.0051,-0.116066666666667,0.00788,-0.0936
"22",0.000316666666666667,-0.00265,0.00186666666666667,-0.154466666666667,0.00186,-0.07322
"23",0.00025,-5.00000000000002e-05,0.00246666666666667,-0.147533333333333,0.00278,-0.07346
"24",0.0454833333333333,-0.0116,0.0455333333333333,0.0241333333333333,0.0574,-0.137
"25",0.02745,-0.0189666666666667,0.0421333333333333,0.327533333333333,0.05252,-0.04006
"26",0.0348333333333333,-0.0170333333333333,0.0365,-0.0435666666666667,0.08232,-0.32546
"27",0.0700166666666667,0.0147166666666667,0.0670666666666667,0.193166666666667,0.06494,-0.01628
"28",0.0636166666666667,-0.0119666666666667,0.0873666666666667,-0.1194,0.10166,-0.29796
"29",0.02365,0.00901666666666667,0.0296,0.272266666666667,0.047,-0.0392
"30",0.0356166666666667,-0.00588333333333333,0.0322,0.343133333333333,0.0489,-0.20296
"31",0.03255,0.0035,0.0285666666666667,0.4814,0.0464,-0.07658
"32",0.000883333333333333,-0.01115,0.0123333333333333,0.2602,0.01392,-0.3124
"33",0.0240333333333333,0.0103666666666667,0.0413,0.1293,0.04914,-0.2719
"34",0.0184833333333333,-0.00778333333333333,0.0300666666666667,-0.112833333333333,0.03528,-0.09502
"35",0.0218166666666667,-0.0068,0.0345,0.0321333333333333,0.04082,-0.27626
"36",0.00425,-0.000316666666666666,0.0130666666666667,0.0541333333333333,0.01716,-0.41216
"37",4e-04,-0.00953333333333333,0.00583333333333333,0.0265,0.00428,-0.36924
"38",0.00175,-0.00296666666666667,0.0136,-0.304733333333333,0.01234,-0.38786
"39",0.02525,0.00103333333333333,0.038,-0.0843666666666667,0.03508,-0.24928
"40",0.0096,-0.00671666666666667,0.0126,0.2342,0.01634,-0.22726
"41",0.0115,-0.01315,0.0173666666666667,0.443266666666667,0.01892,-0.00666
"42",0.0092,-0.00886666666666667,0.0151333333333333,0.132366666666667,0.02122,-0.2771
"43",0.000533333333333333,-0.00386666666666667,0.00686666666666667,-0.3187,0.00822,-0.39816
"44",0.00145,-0.01215,0.00433333333333333,-0.144066666666667,0.00648,-0.34554
"45",3e-04,-0.00715,0.0027,-0.206933333333333,0.00454,-0.36682
"46",0.00025,-0.00458333333333333,0.00353333333333333,-0.120266666666667,0.0036,-0.30294
"47",1.66666666666667e-05,-6e-04,0.00333333333333333,-0.313,0.00224,-0.37594
"48",0.0084,-0.0125,0.0156333333333333,0.0956333333333333,0.01894,-0.25888
"49",0.000716666666666667,-0.00243333333333333,0.00403333333333333,-0.205766666666667,0.00502,-0.36538
"50",0.000466666666666667,0.00338333333333333,0.0046,-0.2315,0.00636,-0.39112
"51",0.0159333333333333,-0.00465,0.0334333333333333,0.0729666666666667,0.0216,-0.02156
"52",0.00118333333333333,-0.00108333333333333,0.0121333333333333,-0.2432,0.00378,-0.1203
"53",0.00403333333333333,0.000833333333333334,0.0142333333333333,-0.0286,0.01862,-0.30114
"54",0.0315333333333333,0.00548333333333333,0.0451666666666667,0.111133333333333,0.0281,-0.0611
"55",0.0164833333333333,0.0051,0.0239333333333333,0.0357,0.01414,-0.0435
"56",0.0413666666666667,9e-04,0.0390333333333333,0.0966666666666667,0.04016,-0.186
"57",0.0186166666666667,-0.00313333333333333,0.0332666666666667,-0.111533333333333,0.01806,-0.03464
"58",0.0469166666666667,-0.00118333333333333,0.0692,0.0663666666666667,0.04506,0.05194
"59",0.00706666666666667,-0.0033,0.0217,-0.1982,0.01188,-0.18918
"60",0.0142666666666667,0.000933333333333334,0.0155666666666667,-0.0324333333333333,0.01432,-0.25082
"61",0.000883333333333333,-0.00148333333333333,0.00933333333333333,-0.331,0.00334,-0.25466
"62",0.0150166666666667,0.00203333333333333,0.0323,-0.190866666666667,0.032,-0.26008
"63",0.0284666666666667,-0.00326666666666667,0.0401333333333333,0.0413666666666667,0.03606,-0.12756
"64",0.0073,-0.0022,0.0181666666666667,-0.224733333333333,0.0133,-0.24212
"65",0.0286,0.00178333333333333,0.0432333333333333,-0.1133,0.02334,-0.26562
"66",0.0085,-0.00233333333333333,0.026,-0.2301,0.0162,-0.27706
"67",0.0306666666666667,-0.00396666666666667,0.0391666666666667,0.130933333333333,0.03592,-0.07104
"68",0.00326666666666667,0.00158333333333333,0.0143333333333333,-0.2223,0.0094,-0.2314
"69",0.00675,-0.000416666666666667,0.0119333333333333,0.0654,0.01266,-0.15654
"70",0.0044,-0.00588333333333333,0.00813333333333333,-0.0692666666666667,0.01156,-0.3025
"71",0.00693333333333333,-0.00148333333333333,0.0077,-0.0569,0.00984,-0.14374
"72",0.00556666666666667,-0.00693333333333333,0.0117,-0.144633333333333,0.00992,-0.297
"73",0.0064,0.0117666666666667,0.0117,0.165066666666667,0.01084,-0.05938
"74",0.0168333333333333,3.33333333333332e-05,0.0184333333333333,-0.0566,0.02044,-0.20584
"75",0.00576666666666667,-0.0105166666666667,0.0108,-0.1515,0.0092,-0.22222
"76",0.0248333333333333,-0.0258166666666667,0.0218333333333333,0.0614,0.02658,-0.29156
"77",0.0146666666666667,-6e-04,0.0194333333333333,0.0341666666666667,0.02354,-0.19306
"78",0.02125,-0.00346666666666667,0.0164333333333333,0.162233333333333,0.02672,-0.07586
"79",0.0295833333333333,0.00178333333333333,0.0455333333333333,0.1289,0.03348,-0.0997
"80",0.00985,-0.00328333333333333,0.0112333333333333,0.118133333333333,0.02228,-0.17166
"81",0.0399333333333333,0.00176666666666667,0.0402333333333333,0.00946666666666667,0.04988,-0.16826
