Group,Day,Mouse,Paw,Threshold
1,-7,1,R,1.4
1,-7,2,R,1
1,-7,3,R,1.2
1,-7,4,R,1.1
1,-7,5,R,1
1,-7,6,R,1
1,-7,1,L,1
1,-7,2,L,1
1,-7,3,L,1
1,-7,4,L,1.1
1,-7,5,L,1.1
1,-7,6,L,1
1,0,1,R,1.4
1,0,2,R,1.6
1,0,3,R,1
1,0,1,L,1.2
1,0,2,L,1
1,0,3,L,1
1,0,4,R,0.7
1,0,5,R,1.2
1,0,6,R,1
1,0,4,L,1
1,0,5,L,1.4
1,0,6,L,1
1,3,1,R,1
1,3,2,R,1.2
1,3,3,R,1
1,3,1,L,1
1,3,2,L,1.4
1,3,3,L,1
1,4,1,R,1
1,4,2,R,1
1,4,3,R,1
1,4,1,L,1.2
1,4,2,L,0.9
1,4,3,L,1
1,12,1,R,1
1,12,2,R,1.4
1,12,3,R,1.1
1,12,1,L,1
1,12,2,L,1
1,12,3,L,1.1
1,3,4,R,"1,1"
1,3,5,R,1.1
1,3,6,R,1.1
1,3,4,L,1.2
1,3,5,L,1.2
1,3,6,L,1
1,14,1,R,1.4
1,14,2,R,0.8
1,14,3,R,1
1,14,1,L,1
1,14,2,L,1
1,14,3,L,1.1
1,16,1,R,1
1,16,2,R,1
1,16,3,R,1.4
1,16,1,L,1.4
1,16,2,L,1
1,16,3,L,1
1,4,4,R,0.9
1,4,5,R,1
1,4,6,R,0.9
1,4,4,L,1
1,4,5,L,1
1,4,6,L,0.9
1,20,1,R,1
1,20,1,L,1.2
1,25,1,R,1.1
1,25,1,L,1
1,20,2,R,0.6
1,20,2,L,0.8
1,25,2,R,1
1,25,2,L,1.2
1,20,3,R,1
1,20,3,L,0.8
1,25,3,R,1.2
1,25,3,L,1
1,9,5,R,1
1,9,5,L,0.8
1,12,5,R,1.3
1,12,5,L,1.4
1,16,5,R,1.1
1,16,5,L,1.2
1,20,5,R,1.2
1,20,5,L,1.2
1,25,5,R,1.3
1,25,5,L,1
1,9,6,R,1
1,9,6,L,1
1,12,6,R,1
1,12,6,L,1
1,16,6,R,1.2
1,16,6,L,1
1,20,6,R,1.1
1,20,6,L,1.3
1,25,6,R,1.1
1,25,6,L,1
1,0,7,R,0.9
1,0,7,L,1
1,3,7,R,0.8
1,3,7,L,0.9
1,4,7,R,1
1,4,7,L,1
1,9,7,R,1
1,9,7,L,1.2
1,12,7,R,0.9
1,12,7,L,0.8
1,14,7,R,1
1,14,7,L,1.2
1,16,7,R,1
1,16,7,L,1
1,20,7,R,0.8
1,20,7,L,1
1,25,7,R,1
1,25,7,L,1.2
1,0,8,R,1
1,0,8,L,1
1,3,8,R,1.2
1,3,8,L,1
1,4,8,R,0.8
1,4,8,L,1
1,9,8,R,0.8
1,9,8,L,1
1,12,8,R,1
1,12,8,L,1
1,14,8,R,1
1,14,8,L,1
1,16,8,R,1.1
1,16,8,L,1
1,20,8,R,1.4
1,20,8,L,1.1
1,25,8,R,1.2
1,25,8,L,1
1,0,9,R,1
1,0,9,L,1.2
1,3,9,R,1
1,3,9,L,1
1,4,9,R,0.8
1,4,9,L,1
1,9,9,R,1
1,9,9,L,1
1,12,9,R,0.8
1,12,9,L,1
1,14,9,R,1
1,14,9,L,1
1,16,9,R,0.8
1,16,9,L,1
1,20,9,R,0.8
1,20,9,L,1.1
1,25,9,R,1
1,25,9,L,0.9
2,0,1,R,0.8
2,0,1,L,0.8
2,3,1,R,0.4
2,3,1,L,1
2,4,1,R,0.5
2,4,1,L,0.8
2,9,1,R,0.6
2,9,1,L,1
2,12,1,R,0.5
2,12,1,L,1
2,14,1,R,0.8
2,14,1,L,1.1
2,16,1,R,0.8
2,16,1,L,1.2
2,20,1,R,1
2,20,1,L,1.2
2,25,1,R,1
2,25,1,L,"1,3"
2,0,2,R,0.8
2,0,2,L,1
2,3,2,R,0.5
2,3,2,L,1
2,4,2,R,0.3
2,4,2,L,1
2,9,2,R,0.4
2,9,2,L,0.8
2,12,2,R,0.4
2,12,2,L,0.8
2,14,2,R,0.3
2,14,2,L,1
2,16,2,R,0.4
2,16,2,L,1.2
2,20,2,R,0.5
2,20,2,L,1.2
2,25,2,R,0.6
2,25,2,L,1.1
2,0,3,R,1
2,0,3,L,1.5
2,3,3,R,0.5
2,3,3,L,1.4
2,4,3,R,0.5
2,4,3,L,1.3
2,9,3,R,0.5
2,9,3,L,1.1
2,12,3,R,0.6
2,12,3,L,1.2
2,14,3,R,0.5
2,14,3,L,1
2,16,3,R,0.6
2,16,3,L,1.4
2,20,3,R,0.5
2,20,3,L,1.2
2,25,3,R,0.6
2,25,3,L,1.4
2,0,4,R,1
2,0,4,L,1
2,3,4,R,0.1
2,3,4,L,1
2,4,4,R,0.2
2,4,4,L,1.2
2,0,5,R,0.8
2,0,5,L,0.9
2,3,5,R,0.4
2,3,5,L,1
2,4,5,R,0.3
2,4,5,L,1.1
2,9,5,R,0.3
2,9,5,L,1.2
2,12,5,R,0.1
2,12,5,L,1.2
2,14,5,R,
2,14,5,L,
2,16,5,R,
2,16,5,L,
2,20,5,R,
2,20,5,L,
2,25,5,R,
2,25,5,L,
2,0,6,R,1
2,0,6,L,1
2,3,6,R,0.3
2,3,6,L,1.2
2,4,6,R,0.3
2,4,6,L,1.4
2,9,6,R,0.4
2,9,6,L,1.4
2,12,6,R,0.4
2,12,6,L,1.3
2,14,6,R,
2,14,6,L,
2,16,6,R,
2,16,6,L,
2,20,6,R,
2,20,6,L,
2,25,6,R,
2,25,6,L,
2,0,7,R,1
2,0,7,L,0.8
2,3,7,R,
2,3,7,L,
2,4,7,R,
2,4,7,L,
2,9,7,R,
2,9,7,L,
2,12,7,R,
2,12,7,L,
2,14,7,R,
2,14,7,L,
2,16,7,R,
2,16,7,L,
2,20,7,R,
2,20,7,L,
2,25,7,R,
2,25,7,L,
